# RUN INFO: year,month,day,hour,min,sec,nSamples,startGate,nGates
# 2020,12,30,06,39,04,10000,100,300
# OPS INFO: siteName,radarName,alt,lat,lon,startRange,gateSpacing,scanMode,xmitRcvMode,prfMode,xmitPhaseMode,wavelenCm,beamWidthH,beamWidthV
# ,HCR,1602.23,40.038,-105.241,-198,19.1867,12,8,1,1,0.317556,0.75,0.72
# DUAL CHANNEL MODE:
#   Start gate: 100
#   N gates: 300
#   N samples: 10000
#                  time           prf      el      az       Hc    Hcorr     Harg       Vc    Vcorr     Varg     IFD0     IFD1   Lag1Hc   Lag1Vc    HLnaTemp    VLnaTemp
2020/11/19_21:00:53.853657961  9864.3   88.39  295.88  -55.588    0.143  179.260  -49.086    0.143  179.260  -55.588  -49.086  -68.727  -69.464     22.4877     20.4437
2020/11/19_21:00:54.867418051  9864.3   88.39  295.86  -55.597    0.143  179.281  -49.083    0.143  179.281  -55.597  -49.083  -68.795  -69.706     22.3807      20.574
2020/11/19_21:00:55.881177902  9864.3   88.40  295.90  -55.585    0.144  179.508  -49.085    0.144  179.508  -55.585  -49.085  -68.695  -69.635     22.3762      20.543
2020/11/19_21:00:56.894937992  9864.3   88.39  295.86  -55.590    0.142  179.518  -49.089    0.142  179.518  -55.590  -49.089  -68.681  -69.359     22.3338     20.4376
2020/11/19_21:00:57.908698082  9864.3   88.42  294.32  -55.586    0.144  179.762  -49.084    0.144  179.762  -55.586  -49.084  -68.760  -69.639     22.2555     20.2744
2020/11/19_21:00:58.922457933  9864.3   88.39  295.85  -55.592    0.143  179.358  -49.093    0.143  179.358  -55.592  -49.093  -68.786  -69.594     22.3897     20.3456
2020/11/19_21:00:59.936218023  9864.3   88.39  295.95  -55.595    0.144  179.292  -49.090    0.144  179.292  -55.595  -49.090  -68.803  -69.735     22.4546     20.3952
2020/11/19_21:01:00.949978113  9864.3   88.39  295.90  -55.586    0.144  179.888  -49.090    0.144  179.888  -55.586  -49.090  -68.787  -69.772     22.3613     20.2692
2020/11/19_21:01:01.963737965  9864.3   88.39  295.87  -55.592    0.143  179.705  -49.086    0.143  179.705  -55.592  -49.086  -68.760  -69.732     22.2625     20.0959
2020/11/19_21:01:02.977498055  9864.3   88.39  295.85  -55.583    0.143  179.453  -49.086    0.143  179.453  -55.583  -49.086  -68.747  -69.730     22.0518     20.0994
